citylist,country,lat,lon,temp,temp_max,cloudiness,humidity,windspeed,date
Vredendal,ZA,-31.6683,18.5012,19.36,19.36,0,61,3.73,1614968176
Pandamatenga,BW,-18.5278,25.627,19.66,19.66,11,64,0.39,1614968176
Mathathane,BW,-22.2687,28.7495,30.0,30.0,18,33,3.84,1614968176
Neiafu,TO,-18.65,-173.9833,22.0,22.0,75,94,1.23,1614968177
Saint-Philippe,RE,-21.3585,55.7679,24.31,27.0,100,78,1.54,1614968179
Hualmay,PE,-11.0964,-77.6139,25.66,25.66,93,61,4.55,1614968181
Ambatofinandrahana,MG,-20.55,46.8,16.9,16.9,100,97,2.64,1614968182
Itarema,BR,-2.9248,-39.9167,29.9,29.9,63,65,7.69,1614968183
Alto Araguaia,BR,-17.3147,-53.2153,26.56,26.56,69,74,4.45,1614968184
Poum,NC,-20.2333,164.0167,27.81,27.81,95,82,17.86,1614968186
Mossamedes,AO,-15.1961,12.1522,24.15,24.15,21,81,2.73,1614968187
Geraldton,AU,-28.7667,114.6,20.0,20.0,75,88,3.09,1614968187
Lorengau,PG,-2.0226,147.2712,27.66,27.66,57,78,4.78,1614968188
Te Anau,NZ,-45.4167,167.7167,6.58,6.58,30,88,1.46,1614968191
Bairnsdale,AU,-37.8333,147.6167,9.03,9.03,25,83,2.85,1614968140
Bambous Virieux,MU,-20.3428,57.7575,25.0,25.0,20,83,3.09,1614968195
Ahipara,NZ,-35.1667,173.1667,15.31,15.31,30,83,2.74,1614968196
Namatanai,PG,-3.6667,152.4333,26.15,26.15,98,82,1.34,1614968197
Mahébourg,MU,-20.4081,57.7,25.0,25.0,20,83,3.09,1614968199
Port Macquarie,AU,-31.4333,152.9167,18.32,18.89,100,86,0.45,1614968074
Tual,ID,-5.6667,132.75,28.37,28.37,69,75,5.71,1614968202
Palmas,BR,-10.2128,-48.3603,32.0,32.0,40,51,1.54,1614968204
Mareeba,AU,-17.0,145.4333,22.64,24.0,40,94,0.69,1614968205
Rawson,AR,-43.3002,-65.1023,24.77,24.77,12,44,11.05,1614968205
Arraial do Cabo,BR,-22.9661,-42.0278,32.68,35.0,20,58,5.14,1614968208
Werda,BW,-25.2667,23.2833,26.92,26.92,41,28,0.57,1614968208
Uauá,BR,-9.8414,-39.4817,35.8,35.8,8,23,5.1,1614968209
Tiarei,PF,-17.5333,-149.3333,25.0,25.0,90,88,1.54,1614968210
Sola,VU,-13.8833,167.55,27.78,27.78,100,84,10.2,1614968212
Beroroha,MG,-21.6667,45.1667,23.64,23.64,100,85,1.02,1614968214
Charters Towers,AU,-20.1,146.2667,21.5,21.5,15,88,2.72,1614968214
Ariquemes,BR,-9.9133,-63.0408,26.5,26.5,100,87,1.6,1614968215
Lüderitz,NA,-26.6481,15.1594,22.32,22.32,0,48,6.81,1614968218
Faanui,PF,-16.4833,-151.75,28.3,28.3,100,74,6.93,1614968219
Carauari,BR,-4.8828,-66.8958,27.97,27.97,93,69,1.9,1614968219
Kununurra,AU,-15.7667,128.7333,24.0,24.0,75,72,6.17,1614968221
Coyhaique,CL,-45.5752,-72.0662,27.0,27.0,0,17,2.06,1614968222
Moroni,KM,-11.7022,43.2551,27.68,27.68,100,77,6.91,1614968224
Lufilufi,WS,-13.8745,-171.5986,24.0,24.0,20,94,6.58,1614968226
San Vicente,AR,-26.6167,-54.1333,24.82,24.82,82,77,1.56,1614968229
Manggar,ID,-2.8833,108.2667,25.73,25.73,24,83,2.53,1614968229
Chake Chake,TZ,-5.2459,39.7666,27.19,27.19,100,70,6.97,1614968230
San Juan,AR,-31.5375,-68.5364,32.77,32.77,1,28,2.86,1614968230
Daru,PG,-9.0763,143.2092,24.94,24.94,77,88,3.64,1614968230
Opotiki,NZ,-38.0833,177.2833,11.67,11.67,56,98,0.87,1614968231
Antalaha,MG,-14.9003,50.2788,25.88,25.88,84,88,1.08,1614968231
Sinazongwe,ZM,-17.2614,27.4618,25.4,25.4,0,60,1.6,1614968235
Port Shepstone,ZA,-30.7414,30.455,23.29,23.29,88,75,6.46,1614968275
Mazagão,BR,-0.115,-51.2894,28.0,28.0,90,78,2.57,1614968275
Constitución,CL,-35.3333,-72.4167,18.82,18.82,8,70,3.71,1614968276
Mkushi,ZM,-13.6202,29.3939,19.44,19.44,100,93,1.57,1614968278
São Gabriel da Cachoeira,BR,-0.1303,-67.0892,30.0,30.0,40,70,4.12,1614968278
Castro,BR,-24.7911,-50.0119,19.47,19.47,100,93,4.13,1614968279
Rurrenabaque,BO,-14.4413,-67.5278,27.99,27.99,100,77,1.44,1614968280
Pisco,PE,-13.7,-76.2167,26.37,27.0,0,74,4.63,1614968283
Ritchie,ZA,-29.038,24.6028,23.0,23.0,0,28,3.6,1614968284
Sumbe,AO,-11.2061,13.8437,26.62,26.62,56,81,4.06,1614968284
Caucayá,CO,-0.1934,-74.7819,31.45,31.45,55,58,1.07,1614968289
Chipinge,ZW,-20.1883,32.6236,16.31,16.31,1,87,1.51,1614968289
Paracuru,BR,-3.41,-39.0306,28.33,28.33,84,72,8.94,1614968143
Vao,NC,-22.6667,167.4833,24.46,24.46,100,94,5.64,1614968290
Calama,CL,-22.4667,-68.9333,22.0,22.0,40,40,10.29,1614968291
Kaeo,NZ,-35.1,173.7833,11.67,11.67,25,93,0.45,1614968292
Corowa,AU,-36.0333,146.3833,8.89,8.89,0,71,2.36,1614968295
Majene,ID,-3.5403,118.9707,26.0,26.0,100,75,2.09,1614968296
Iquitos,PE,-3.7481,-73.2472,28.0,28.0,40,78,3.6,1614968297
Ijuí,BR,-28.3878,-53.9147,27.0,27.0,40,69,6.17,1614968303
Faxinal,BR,-24.0003,-51.3194,21.66,21.66,99,91,4.09,1614968304
Codrington,AU,-38.2667,141.9667,11.05,11.05,58,84,4.56,1614968308
Soyo,AO,-6.1349,12.3689,27.5,27.5,30,87,5.44,1614968308
Yulara,AU,-25.2406,130.9889,25.0,25.0,17,27,2.06,1614968308
Port-Gentil,GA,-0.7193,8.7815,28.0,28.0,75,83,7.2,1614968312
Valparaíso,CL,-33.0393,-71.6273,17.84,19.0,90,100,5.14,1614968175
Ulladulla,AU,-35.35,150.4667,14.36,16.11,90,63,3.6,1614968315
Broken Hill,AU,-31.95,141.4333,18.0,18.0,0,36,4.12,1614968316
Neuquén,AR,-38.9516,-68.0591,23.0,23.0,40,60,4.12,1614968251
Guiratinga,BR,-16.3494,-53.7583,26.97,26.97,76,72,2.91,1614968320
Kirakira,SB,-10.4544,161.9205,27.11,27.11,100,82,5.77,1614968324
Waipawa,NZ,-41.4122,175.5153,16.53,17.22,75,88,11.32,1614968324
Inhambane,MZ,-23.865,35.3833,27.4,27.78,20,78,2.06,1614968326
Vallenar,CL,-28.5708,-70.7581,29.7,29.7,10,27,5.17,1614968327
Rocha,UY,-34.4833,-54.3333,21.19,21.19,47,69,6.44,1614968329
Rundu,NA,-17.9333,19.7667,21.34,21.34,50,56,1.13,1614968330
Unaí,BR,-16.3575,-46.9061,30.06,30.06,32,56,1.41,1614968330
Poconé,BR,-16.2567,-56.6228,30.58,30.58,83,65,1.71,1614968333
Touros,BR,-5.1989,-35.4608,30.0,30.0,40,66,6.17,1614968333
Camabatela,AO,-8.1881,15.375,18.87,18.87,76,91,0.53,1614968338
Nabire,ID,-3.3667,135.4833,23.69,23.69,100,93,1.47,1614968339
Boyolangu,ID,-8.1181,111.8935,24.37,24.37,100,85,1.55,1614968339
Aripuanã,BR,-9.1667,-60.6333,27.39,27.39,87,89,1.38,1614968341
Amuntai,ID,-2.4177,115.2494,23.59,23.59,81,90,1.06,1614968343
Innisfail,AU,-17.5333,146.0333,23.69,23.69,100,88,1.38,1614968344
Imbituba,BR,-28.24,-48.6703,27.0,27.0,75,78,5.14,1614968347
